"","ref_date","financial_market_statistics","value"
"562",2010-10-06,"Target rate",1
"563",2010-10-07,"Real return benchmark bond yield, long term",1.235
"564",2010-10-07,"Target rate",1
"565",2010-10-08,"Real return benchmark bond yield, long term",1.214
"566",2010-10-08,"Target rate",1
"567",2010-10-09,"Real return benchmark bond yield, long term",0
"568",2010-10-09,"Target rate",0
"569",2010-10-10,"Real return benchmark bond yield, long term",0
"570",2010-10-10,"Target rate",0
"571",2010-10-11,"Real return benchmark bond yield, long term",NA
"572",2010-10-11,"Target rate",1
"573",2010-10-12,"Real return benchmark bond yield, long term",1.229
"574",2010-10-12,"Target rate",1
"575",2010-10-13,"Real return benchmark bond yield, long term",1.233
"576",2010-10-13,"Target rate",1
"577",2010-10-14,"Real return benchmark bond yield, long term",1.163
"578",2010-10-14,"Target rate",1
"579",2010-10-15,"Real return benchmark bond yield, long term",1.198
"580",2010-10-15,"Target rate",1
"581",2010-10-16,"Real return benchmark bond yield, long term",0
"582",2010-10-16,"Target rate",0
"583",2010-10-17,"Real return benchmark bond yield, long term",0
"584",2010-10-17,"Target rate",0
"585",2010-10-18,"Real return benchmark bond yield, long term",1.179
"586",2010-10-18,"Target rate",1
"587",2010-10-19,"Real return benchmark bond yield, long term",1.12
"588",2010-10-19,"Target rate",1
"589",2010-10-20,"Real return benchmark bond yield, long term",1.127
"590",2010-10-20,"Target rate",1
"591",2010-10-21,"Real return benchmark bond yield, long term",1.09
"592",2010-10-21,"Target rate",1
"593",2010-10-22,"Real return benchmark bond yield, long term",1.089
"594",2010-10-22,"Target rate",1
"595",2010-10-23,"Real return benchmark bond yield, long term",0
"596",2010-10-23,"Target rate",0
"597",2010-10-24,"Real return benchmark bond yield, long term",0
"598",2010-10-24,"Target rate",0
"599",2010-10-25,"Real return benchmark bond yield, long term",1.078
"600",2010-10-25,"Target rate",1
"601",2010-10-26,"Real return benchmark bond yield, long term",1.133
"602",2010-10-26,"Target rate",1
"603",2010-10-27,"Real return benchmark bond yield, long term",1.173
"604",2010-10-27,"Target rate",1
"605",2010-10-28,"Real return benchmark bond yield, long term",1.139
"606",2010-10-28,"Target rate",1
"607",2010-10-29,"Real return benchmark bond yield, long term",1.091
"608",2010-10-29,"Target rate",1
"609",2010-10-30,"Real return benchmark bond yield, long term",0
"610",2010-10-30,"Target rate",0
"611",2010-10-31,"Real return benchmark bond yield, long term",0
"612",2010-10-31,"Target rate",0
"613",2010-11-01,"Real return benchmark bond yield, long term",1.125
"614",2010-11-01,"Target rate",1
"615",2010-11-02,"Real return benchmark bond yield, long term",1.14
"616",2010-11-02,"Target rate",1
"617",2010-11-03,"Real return benchmark bond yield, long term",1.151
"618",2010-11-03,"Target rate",1
"619",2010-11-04,"Real return benchmark bond yield, long term",1.134
"620",2010-11-04,"Target rate",1
"621",2010-11-05,"Real return benchmark bond yield, long term",1.148
"622",2010-11-05,"Target rate",1
"623",2010-11-06,"Real return benchmark bond yield, long term",0
"624",2010-11-06,"Target rate",0
"625",2010-11-07,"Real return benchmark bond yield, long term",0
"626",2010-11-07,"Target rate",0
"627",2010-11-08,"Real return benchmark bond yield, long term",1.18
"628",2010-11-08,"Target rate",1
"629",2010-11-09,"Real return benchmark bond yield, long term",1.233
"630",2010-11-09,"Target rate",1
"631",2010-11-10,"Real return benchmark bond yield, long term",1.251
"632",2010-11-10,"Target rate",1
"633",2010-11-11,"Real return benchmark bond yield, long term",NA
"634",2010-11-11,"Target rate",1
"635",2010-11-12,"Real return benchmark bond yield, long term",1.297
"636",2010-11-12,"Target rate",1
"637",2010-11-13,"Real return benchmark bond yield, long term",0
"638",2010-11-13,"Target rate",0
"639",2010-11-14,"Real return benchmark bond yield, long term",0
"640",2010-11-14,"Target rate",0
"641",2010-11-15,"Real return benchmark bond yield, long term",1.372
"642",2010-11-15,"Target rate",1
"643",2010-11-16,"Real return benchmark bond yield, long term",1.343
"644",2010-11-16,"Target rate",1
"645",2010-11-17,"Real return benchmark bond yield, long term",1.319
"646",2010-11-17,"Target rate",1
"647",2010-11-18,"Real return benchmark bond yield, long term",1.294
"648",2010-11-18,"Target rate",1
"649",2010-11-19,"Real return benchmark bond yield, long term",1.307
"650",2010-11-19,"Target rate",1
"651",2010-11-20,"Real return benchmark bond yield, long term",0
"652",2010-11-20,"Target rate",0
"653",2010-11-21,"Real return benchmark bond yield, long term",0
"654",2010-11-21,"Target rate",0
"655",2010-11-22,"Real return benchmark bond yield, long term",1.267
"656",2010-11-22,"Target rate",1
"657",2010-11-23,"Real return benchmark bond yield, long term",1.251
"658",2010-11-23,"Target rate",1
"659",2010-11-24,"Real return benchmark bond yield, long term",1.301
"660",2010-11-24,"Target rate",1
"661",2010-11-25,"Real return benchmark bond yield, long term",1.266
"662",2010-11-25,"Target rate",1
"663",2010-11-26,"Real return benchmark bond yield, long term",1.198
"664",2010-11-26,"Target rate",1
"665",2010-11-27,"Real return benchmark bond yield, long term",0
"666",2010-11-27,"Target rate",0
"667",2010-11-28,"Real return benchmark bond yield, long term",0
"668",2010-11-28,"Target rate",0
"669",2010-11-29,"Real return benchmark bond yield, long term",1.145
"670",2010-11-29,"Target rate",1
"671",2010-11-30,"Real return benchmark bond yield, long term",1.116
"672",2010-11-30,"Target rate",1
"673",2010-12-01,"Real return benchmark bond yield, long term",1.174
"674",2010-12-01,"Target rate",1
"675",2010-12-02,"Real return benchmark bond yield, long term",1.194
"676",2010-12-02,"Target rate",1
"677",2010-12-03,"Real return benchmark bond yield, long term",1.241
"678",2010-12-03,"Target rate",1
"679",2010-12-04,"Real return benchmark bond yield, long term",0
"680",2010-12-04,"Target rate",0
"681",2010-12-05,"Real return benchmark bond yield, long term",0
"682",2010-12-05,"Target rate",0
"683",2010-12-06,"Real return benchmark bond yield, long term",1.214
"684",2010-12-06,"Target rate",1
"685",2010-12-07,"Real return benchmark bond yield, long term",1.269
"686",2010-12-07,"Target rate",1
"687",2010-12-08,"Real return benchmark bond yield, long term",1.279
"688",2010-12-08,"Target rate",1
"689",2010-12-09,"Real return benchmark bond yield, long term",1.31
"690",2010-12-09,"Target rate",1
"691",2010-12-10,"Real return benchmark bond yield, long term",1.331
"692",2010-12-10,"Target rate",1
"693",2010-12-11,"Real return benchmark bond yield, long term",0
"694",2010-12-11,"Target rate",0
"695",2010-12-12,"Real return benchmark bond yield, long term",0
"696",2010-12-12,"Target rate",0
"697",2010-12-13,"Real return benchmark bond yield, long term",1.276
"698",2010-12-13,"Target rate",1
"699",2010-12-14,"Real return benchmark bond yield, long term",1.358
"700",2010-12-14,"Target rate",1
"701",2010-12-15,"Real return benchmark bond yield, long term",1.323
"702",2010-12-15,"Target rate",1
"703",2010-12-16,"Real return benchmark bond yield, long term",1.249
"704",2010-12-16,"Target rate",1
"705",2010-12-17,"Real return benchmark bond yield, long term",1.182
"706",2010-12-17,"Target rate",1
"707",2010-12-18,"Real return benchmark bond yield, long term",0
"708",2010-12-18,"Target rate",0
"709",2010-12-19,"Real return benchmark bond yield, long term",0
"710",2010-12-19,"Target rate",0
"711",2010-12-20,"Real return benchmark bond yield, long term",1.158
"712",2010-12-20,"Target rate",1
"713",2010-12-21,"Real return benchmark bond yield, long term",1.134
"714",2010-12-21,"Target rate",1
"715",2010-12-22,"Real return benchmark bond yield, long term",1.144
"716",2010-12-22,"Target rate",1
"717",2010-12-23,"Real return benchmark bond yield, long term",1.141
"718",2010-12-23,"Target rate",1
"719",2010-12-24,"Real return benchmark bond yield, long term",1.144
"720",2010-12-24,"Target rate",1
"721",2010-12-25,"Real return benchmark bond yield, long term",0
"722",2010-12-25,"Target rate",0
"723",2010-12-26,"Real return benchmark bond yield, long term",0
"724",2010-12-26,"Target rate",0
"725",2010-12-27,"Real return benchmark bond yield, long term",NA
"726",2010-12-27,"Target rate",1
"727",2010-12-28,"Real return benchmark bond yield, long term",NA
"728",2010-12-28,"Target rate",1
"729",2010-12-29,"Real return benchmark bond yield, long term",1.119
"730",2010-12-29,"Target rate",1
"731",2010-12-30,"Real return benchmark bond yield, long term",1.129
"732",2010-12-30,"Target rate",1
"733",2010-12-31,"Real return benchmark bond yield, long term",1.107
"734",2010-12-31,"Target rate",1
"735",2011-01-01,"Real return benchmark bond yield, long term",0
"736",2011-01-01,"Target rate",0
"737",2011-01-02,"Real return benchmark bond yield, long term",0
"738",2011-01-02,"Target rate",0
"739",2011-01-03,"Real return benchmark bond yield, long term",NA
"740",2011-01-03,"Target rate",1
"741",2011-01-04,"Real return benchmark bond yield, long term",1.172
"742",2011-01-04,"Target rate",1
"743",2011-01-05,"Real return benchmark bond yield, long term",1.229
"744",2011-01-05,"Target rate",1
"745",2011-01-06,"Real return benchmark bond yield, long term",1.2
"746",2011-01-06,"Target rate",1
"747",2011-01-07,"Real return benchmark bond yield, long term",1.17
"748",2011-01-07,"Target rate",1
"749",2011-01-08,"Real return benchmark bond yield, long term",0
"750",2011-01-08,"Target rate",0
"751",2011-01-09,"Real return benchmark bond yield, long term",0
"752",2011-01-09,"Target rate",0
"753",2011-01-10,"Real return benchmark bond yield, long term",1.168
"754",2011-01-10,"Target rate",1
"755",2011-01-11,"Real return benchmark bond yield, long term",1.191
"756",2011-01-11,"Target rate",1
"757",2011-01-12,"Real return benchmark bond yield, long term",1.224
"758",2011-01-12,"Target rate",1
"759",2011-01-13,"Real return benchmark bond yield, long term",1.217
"760",2011-01-13,"Target rate",1
"761",2011-01-14,"Real return benchmark bond yield, long term",1.249
"762",2011-01-14,"Target rate",1
"763",2011-01-15,"Real return benchmark bond yield, long term",0
"764",2011-01-15,"Target rate",0
"765",2011-01-16,"Real return benchmark bond yield, long term",0
"766",2011-01-16,"Target rate",0
"767",2011-01-17,"Real return benchmark bond yield, long term",1.242
"768",2011-01-17,"Target rate",1
"769",2011-01-18,"Real return benchmark bond yield, long term",1.26
"770",2011-01-18,"Target rate",1
"771",2011-01-19,"Real return benchmark bond yield, long term",1.238
"772",2011-01-19,"Target rate",1
"773",2011-01-20,"Real return benchmark bond yield, long term",1.287
"774",2011-01-20,"Target rate",1
"775",2011-01-21,"Real return benchmark bond yield, long term",1.297
"776",2011-01-21,"Target rate",1
"777",2011-01-22,"Real return benchmark bond yield, long term",0
"778",2011-01-22,"Target rate",0
"779",2011-01-23,"Real return benchmark bond yield, long term",0
"780",2011-01-23,"Target rate",0
"781",2011-01-24,"Real return benchmark bond yield, long term",1.31
"782",2011-01-24,"Target rate",1
"783",2011-01-25,"Real return benchmark bond yield, long term",1.323
"784",2011-01-25,"Target rate",1
"785",2011-01-26,"Real return benchmark bond yield, long term",1.351
"786",2011-01-26,"Target rate",1
"787",2011-01-27,"Real return benchmark bond yield, long term",1.346
"788",2011-01-27,"Target rate",1
"789",2011-01-28,"Real return benchmark bond yield, long term",1.36
"790",2011-01-28,"Target rate",1
"791",2011-01-29,"Real return benchmark bond yield, long term",0
"792",2011-01-29,"Target rate",0
"793",2011-01-30,"Real return benchmark bond yield, long term",0
"794",2011-01-30,"Target rate",0
"795",2011-01-31,"Real return benchmark bond yield, long term",1.375
"796",2011-01-31,"Target rate",1
"797",2011-02-01,"Real return benchmark bond yield, long term",1.39
"798",2011-02-01,"Target rate",1
"799",2011-02-02,"Real return benchmark bond yield, long term",1.412
"800",2011-02-02,"Target rate",1
"801",2011-02-03,"Real return benchmark bond yield, long term",1.424
"802",2011-02-03,"Target rate",1
"803",2011-02-04,"Real return benchmark bond yield, long term",1.442
"804",2011-02-04,"Target rate",1
"805",2011-02-05,"Real return benchmark bond yield, long term",0
"806",2011-02-05,"Target rate",0
"807",2011-02-06,"Real return benchmark bond yield, long term",0
"808",2011-02-06,"Target rate",0
"809",2011-02-07,"Real return benchmark bond yield, long term",1.429
"810",2011-02-07,"Target rate",1
"811",2011-02-08,"Real return benchmark bond yield, long term",1.468
"812",2011-02-08,"Target rate",1
"813",2011-02-09,"Real return benchmark bond yield, long term",1.427
"814",2011-02-09,"Target rate",1
"815",2011-02-10,"Real return benchmark bond yield, long term",1.453
"816",2011-02-10,"Target rate",1
"817",2011-02-11,"Real return benchmark bond yield, long term",1.443
"818",2011-02-11,"Target rate",1
"819",2011-02-12,"Real return benchmark bond yield, long term",0
"820",2011-02-12,"Target rate",0
"821",2011-02-13,"Real return benchmark bond yield, long term",0
"822",2011-02-13,"Target rate",0
"823",2011-02-14,"Real return benchmark bond yield, long term",1.457
"824",2011-02-14,"Target rate",1
"825",2011-02-15,"Real return benchmark bond yield, long term",1.451
"826",2011-02-15,"Target rate",1
"827",2011-02-16,"Real return benchmark bond yield, long term",1.474
"828",2011-02-16,"Target rate",1
"829",2011-02-17,"Real return benchmark bond yield, long term",1.462
"830",2011-02-17,"Target rate",1
"831",2011-02-18,"Real return benchmark bond yield, long term",1.466
"832",2011-02-18,"Target rate",1
"833",2011-02-19,"Real return benchmark bond yield, long term",0
"834",2011-02-19,"Target rate",0
"835",2011-02-20,"Real return benchmark bond yield, long term",0
"836",2011-02-20,"Target rate",0
"837",2011-02-21,"Real return benchmark bond yield, long term",NA
"838",2011-02-21,"Target rate",1
"839",2011-02-22,"Real return benchmark bond yield, long term",1.404
"840",2011-02-22,"Target rate",1
"841",2011-02-23,"Real return benchmark bond yield, long term",1.312
"842",2011-02-23,"Target rate",1
"843",2011-02-24,"Real return benchmark bond yield, long term",1.27
"844",2011-02-24,"Target rate",1
"845",2011-02-25,"Real return benchmark bond yield, long term",1.243
"846",2011-02-25,"Target rate",1
"847",2011-02-26,"Real return benchmark bond yield, long term",0
"848",2011-02-26,"Target rate",0
"849",2011-02-27,"Real return benchmark bond yield, long term",0
"850",2011-02-27,"Target rate",0
"851",2011-02-28,"Real return benchmark bond yield, long term",1.219
"852",2011-02-28,"Target rate",1
"853",2011-03-01,"Real return benchmark bond yield, long term",1.232
"854",2011-03-01,"Target rate",1
"855",2011-03-02,"Real return benchmark bond yield, long term",1.245
"856",2011-03-02,"Target rate",1
"857",2011-03-03,"Real return benchmark bond yield, long term",1.254
"858",2011-03-03,"Target rate",1
"859",2011-03-04,"Real return benchmark bond yield, long term",1.227
"860",2011-03-04,"Target rate",1
"861",2011-03-05,"Real return benchmark bond yield, long term",0
"862",2011-03-05,"Target rate",0
"863",2011-03-06,"Real return benchmark bond yield, long term",0
"864",2011-03-06,"Target rate",0
"865",2011-03-07,"Real return benchmark bond yield, long term",1.244
"866",2011-03-07,"Target rate",1
"867",2011-03-08,"Real return benchmark bond yield, long term",1.301
"868",2011-03-08,"Target rate",1
"869",2011-03-09,"Real return benchmark bond yield, long term",1.258
"870",2011-03-09,"Target rate",1
"871",2011-03-10,"Real return benchmark bond yield, long term",1.218
"872",2011-03-10,"Target rate",1
"873",2011-03-11,"Real return benchmark bond yield, long term",1.225
"874",2011-03-11,"Target rate",1
"875",2011-03-12,"Real return benchmark bond yield, long term",0
"876",2011-03-12,"Target rate",0
"877",2011-03-13,"Real return benchmark bond yield, long term",0
"878",2011-03-13,"Target rate",0
"879",2011-03-14,"Real return benchmark bond yield, long term",1.212
"880",2011-03-14,"Target rate",1
"881",2011-03-15,"Real return benchmark bond yield, long term",1.204
"882",2011-03-15,"Target rate",1
"883",2011-03-16,"Real return benchmark bond yield, long term",1.159
"884",2011-03-16,"Target rate",1
"885",2011-03-17,"Real return benchmark bond yield, long term",1.154
