"","ref_date","geo","value"
"502",2018-10-01,"Nova Scotia",18.5
"503",2018-11-01,"Nova Scotia",14.4
"504",2018-12-01,"Nova Scotia",17.7
"505",2019-01-01,"Nova Scotia",15.6
"506",2019-02-01,"Nova Scotia",18.7
"507",2019-03-01,"Nova Scotia",17
"508",2019-04-01,"Nova Scotia",18.2
"509",2019-05-01,"Nova Scotia",16.5
"510",2019-06-01,"Nova Scotia",18.2
"511",2019-07-01,"Nova Scotia",14.6
"512",2019-08-01,"Nova Scotia",15.1
"513",2019-09-01,"Nova Scotia",17
"514",2019-10-01,"Nova Scotia",15.5
"515",2019-11-01,"Nova Scotia",17
"516",2019-12-01,"Nova Scotia",16.6
"517",2020-01-01,"Nova Scotia",13.5
"518",2020-02-01,"Nova Scotia",14.6
"519",2020-03-01,"Nova Scotia",15.3
"520",2020-04-01,"Nova Scotia",9.7
"521",2020-05-01,"Nova Scotia",12.3
"522",2020-06-01,"Nova Scotia",13.3
"523",2020-07-01,"Nova Scotia",21
"524",2020-08-01,"Nova Scotia",19
"525",2020-09-01,"Nova Scotia",24.8
"526",2020-10-01,"Nova Scotia",21.2
"527",2020-11-01,"Nova Scotia",27.1
"528",2020-12-01,"Nova Scotia",24.2
"529",2010-01-01,"New Brunswick",13.2
"530",2010-02-01,"New Brunswick",16
"531",2010-03-01,"New Brunswick",17.9
"532",2010-04-01,"New Brunswick",17.9
"533",2010-05-01,"New Brunswick",19.7
"534",2010-06-01,"New Brunswick",21.7
"535",2010-07-01,"New Brunswick",18.3
"536",2010-08-01,"New Brunswick",18.7
"537",2010-09-01,"New Brunswick",15.2
"538",2010-10-01,"New Brunswick",18.9
"539",2010-11-01,"New Brunswick",19.6
"540",2010-12-01,"New Brunswick",15.2
"541",2011-01-01,"New Brunswick",16.9
"542",2011-02-01,"New Brunswick",18.3
"543",2011-03-01,"New Brunswick",16
"544",2011-04-01,"New Brunswick",17.3
"545",2011-05-01,"New Brunswick",18.8
"546",2011-06-01,"New Brunswick",19.2
"547",2011-07-01,"New Brunswick",17.7
"548",2011-08-01,"New Brunswick",18.7
"549",2011-09-01,"New Brunswick",16.5
"550",2011-10-01,"New Brunswick",16.7
"551",2011-11-01,"New Brunswick",19.4
"552",2011-12-01,"New Brunswick",18.4
"553",2012-01-01,"New Brunswick",15.2
"554",2012-02-01,"New Brunswick",16.3
"555",2012-03-01,"New Brunswick",14.8
"556",2012-04-01,"New Brunswick",17.2
"557",2012-05-01,"New Brunswick",16.2
"558",2012-06-01,"New Brunswick",17.1
"559",2012-07-01,"New Brunswick",15.6
"560",2012-08-01,"New Brunswick",16.1
"561",2012-09-01,"New Brunswick",18.6
"562",2012-10-01,"New Brunswick",16.7
"563",2012-11-01,"New Brunswick",14.7
"564",2012-12-01,"New Brunswick",16.3
"565",2013-01-01,"New Brunswick",15.6
"566",2013-02-01,"New Brunswick",16.3
"567",2013-03-01,"New Brunswick",18.9
"568",2013-04-01,"New Brunswick",22.5
"569",2013-05-01,"New Brunswick",23
"570",2013-06-01,"New Brunswick",18.9
"571",2013-07-01,"New Brunswick",18.2
"572",2013-08-01,"New Brunswick",17.4
"573",2013-09-01,"New Brunswick",18.2
"574",2013-10-01,"New Brunswick",19.8
"575",2013-11-01,"New Brunswick",18.4
"576",2013-12-01,"New Brunswick",25.1
"577",2014-01-01,"New Brunswick",18.3
"578",2014-02-01,"New Brunswick",16
"579",2014-03-01,"New Brunswick",21
"580",2014-04-01,"New Brunswick",20.9
"581",2014-05-01,"New Brunswick",18.9
"582",2014-06-01,"New Brunswick",22.6
"583",2014-07-01,"New Brunswick",18.1
"584",2014-08-01,"New Brunswick",17.7
"585",2014-09-01,"New Brunswick",23.2
"586",2014-10-01,"New Brunswick",26.3
"587",2014-11-01,"New Brunswick",20.4
"588",2014-12-01,"New Brunswick",17.1
"589",2015-01-01,"New Brunswick",19.2
"590",2015-02-01,"New Brunswick",17.1
"591",2015-03-01,"New Brunswick",16.5
"592",2015-04-01,"New Brunswick",17.2
"593",2015-05-01,"New Brunswick",20.3
"594",2015-06-01,"New Brunswick",18.4
"595",2015-07-01,"New Brunswick",18.3
"596",2015-08-01,"New Brunswick",18.9
"597",2015-09-01,"New Brunswick",21
"598",2015-10-01,"New Brunswick",18.7
"599",2015-11-01,"New Brunswick",17
"600",2015-12-01,"New Brunswick",17.6
"601",2016-01-01,"New Brunswick",17.7
"602",2016-02-01,"New Brunswick",20.3
"603",2016-03-01,"New Brunswick",18.4
"604",2016-04-01,"New Brunswick",23.6
"605",2016-05-01,"New Brunswick",22.5
"606",2016-06-01,"New Brunswick",23.6
"607",2016-07-01,"New Brunswick",18.2
"608",2016-08-01,"New Brunswick",21.3
